,Unnamed: 0,POPESTIMATE2019,FIPS,beta
37,37,658573,1073.0,3.5825608153361636e-07
41,41,164542,1081.0,1.3537178161575046e-06
49,49,413210,1097.0,6.400932924034894e-07
101,101,143476,4005.0,1.6607853590686315e-06
106,106,4485414,4013.0,0.4999949038350171
109,109,1047279,4019.0,2.1876390986935835e-07
191,191,1671329,6001.0,1.2683716081008909e-07
197,197,1153526,6013.0,1.783213285419459e-07
209,209,10039107,6037.0,1.8724318759329232e-08
220,220,3175692,6059.0,5.05979281056294e-08
223,223,2470546,6065.0,1.0024873098899429e-07
224,224,1552058,6067.0,1.2039315004372233e-07
226,226,2180085,6071.0,1.2062788254078976e-07
227,227,3338330,6073.0,5.552586169306832e-08
228,228,881549,6075.0,1.8642554142846482e-07
229,229,762148,6077.0,2.814651244186634e-07
231,231,766573,6081.0,2.7164385028167637e-07
233,233,1927852,6085.0,8.68505096632369e-08
244,244,466195,6107.0,-4.3365187581284885e-06
250,250,517421,8001.0,4.716720714129666e-07
252,252,656590,8005.0,3.714980677638658e-07
256,256,326196,8013.0,6.976203671941548e-07
266,266,727211,8031.0,3.269027803428851e-07
271,271,720403,8041.0,2.9796458831369815e-07
280,280,582881,8059.0,3.757206054706931e-07
312,312,324492,8123.0,7.731207265198517e-07
315,315,943332,9001.0,2.9235449355056447e-07
316,316,891720,9003.0,3.195380694024402e-07
317,317,180333,9005.0,1.2930165505526389e-06
318,318,162436,9007.0,1.5231922742508696e-06
319,319,854757,9009.0,3.4268597413488196e-07
320,320,265206,9011.0,-7.69363090759615e-06
321,321,150721,9013.0,1.5943669042424697e-06
324,324,180786,10001.0,1.3814402021355411e-06
325,325,558753,10003.0,4.365368806851353e-07
326,326,234225,10005.0,1.1685686143406538e-06
328,328,705749,11001.0,3.536629150833157e-07
335,335,1952778,12011.0,1.280729405952691e-07
364,364,770577,12071.0,2.8085764304914227e-07
369,369,403253,12081.0,4.7568650208161963e-07
372,372,2716940,12086.0,1.0690744057700385e-07
377,377,1393452,12095.0,1.7733494535684037e-07
379,379,1496770,12099.0,1.7407423986366022e-07
381,381,974996,12103.0,2.2699731103196564e-07
387,387,433742,12115.0,4.851398134719126e-07
405,405,107738,13015.0,1.9046200109560263e-06
428,428,292256,13063.0,8.120602496309784e-07
430,430,760141,13067.0,3.005862927754519e-07
441,441,759297,13089.0,3.161302014004142e-07
444,444,87956,13095.0,2.94945499527079e-06
457,457,1063937,13121.0,2.1210181598428693e-07
464,464,936250,13135.0,2.45319546786186e-07
498,498,21863,13205.0,1.1697729500435445e-05
526,526,29524,13261.0,8.232196588947695e-06
624,624,5150233,17031.0,3.7058127747562524e-08
630,630,922921,17043.0,2.9062872613562944e-07
653,653,532403,17089.0,4.393434747550315e-07
654,654,109862,17091.0,2.0923304737245195e-06
657,657,696535,17097.0,3.725920061961816e-07
664,664,307774,17111.0,-6.550010497045211e-06
690,690,259686,17163.0,8.528260816297871e-07
707,707,690743,17197.0,-2.9965763278931217e-06
713,713,379299,18003.0,6.582054791952785e-07
727,727,26559,18031.0,9.121657586902738e-06
740,740,338011,18057.0,7.083564105887027e-07
743,743,170311,18063.0,1.2498430518289048e-06
752,752,158167,18081.0,1.3822013931216932e-06
756,756,485493,18089.0,5.556112636093775e-07
759,759,129569,18095.0,-1.5608987370421623e-05
760,760,964582,18097.0,2.606566644338687e-07
861,861,226706,19113.0,1.1503650802338164e-06
881,881,490161,19153.0,4.932453586320655e-07
950,950,602401,20091.0,3.3650132839676974e-07
1009,1009,165429,20209.0,1.3530934619663876e-06
1066,1066,766757,21111.0,2.950321365722049e-07
1134,1134,126604,22005.0,1.8803898480418147e-06
1140,1140,240204,22017.0,1.0083602971782846e-06
1141,1141,203436,22019.0,1.1739521838754725e-06
1148,1148,440059,22033.0,6.184314911592202e-07
1155,1155,32511,22047.0,7.443570836015077e-06
1157,1157,432493,22051.0,6.191905259750797e-07
1160,1160,97614,22057.0,2.386477994734365e-06
1167,1167,390144,22071.0,-5.313143695564568e-06
1176,1176,53100,22089.0,4.267176239243116e-06
1179,1179,42837,22095.0,5.558348236422607e-06
1180,1180,82124,22097.0,2.6319104942562413e-06
1183,1183,260419,22103.0,9.379488165248735e-07
1186,1186,110461,22109.0,1.9696274575804303e-06
1199,1199,295003,23005.0,7.49769383169973e-07
1215,1215,579234,24003.0,4.3226723894902464e-07
1216,1216,827370,24005.0,3.0778935398295496e-07
1219,1219,168447,24013.0,1.3148127908563701e-06
1221,1221,163257,24017.0,1.3722903766943832e-06
1223,1223,259547,24021.0,9.526034229024714e-07
1228,1228,1050688,24031.0,2.304205334924321e-07
1229,1229,909327,24033.0,2.9022524457595316e-07
1237,1237,593490,24510.0,4.4530719464101886e-07
1239,1239,212990,25001.0,-9.548341217856742e-06
1240,1240,124944,25003.0,-1.475605790834633e-05
1241,1241,565217,25005.0,4.81669049180832e-07
1243,1243,789034,25009.0,3.5092341118210664e-07
1244,1244,70180,25011.0,3.1611454146441845e-06
1245,1245,466372,25013.0,5.996214283185892e-07
1246,1246,160830,25015.0,1.5187198638744263e-06
1247,1247,1611699,25017.0,1.6614109776098765e-07
1249,1249,706775,25021.0,3.3908476763770053e-07
1250,1250,521202,25023.0,5.510400753809385e-07
1251,1251,803907,25025.0,2.3620160706251e-07
1252,1252,830622,25027.0,3.1028958835892825e-07
1278,1278,405813,26049.0,6.833443388241208e-07
1294,1294,656955,26081.0,3.651197174619766e-07
1297,1297,87607,26087.0,2.6996540095409636e-06
1303,1303,873972,26099.0,3.2138140334702923e-07
1316,1316,1257584,26125.0,2.1816008298173474e-07
1326,1326,190539,26145.0,1.3681862687619957e-06
1334,1334,367601,26161.0,6.446069235764454e-07
1335,1335,1749343,26163.0,1.6804443811682378e-07
1364,1364,1265843,27053.0,1.9365098099061387e-07
1399,1399,550321,27123.0,3.491372569715854e-07
1600,1600,402022,29183.0,6.066326842328001e-07
1604,1604,994205,29189.0,2.4396015710641366e-07
1623,1623,300576,29510.0,8.70246607856211e-07
1721,1721,61353,31079.0,4.982264680179379e-06
1777,1777,2266715,32003.0,1.0653602765787867e-07
1790,1790,471519,32031.0,4.457707079492624e-07
1799,1799,417025,33011.0,5.846113642939658e-07
1801,1801,309769,33015.0,6.79694706724989e-07
1805,1805,263670,34001.0,9.637831689307684e-07
1806,1806,932202,34003.0,2.8743872840460517e-07
1807,1807,445349,34005.0,5.59889783773055e-07
1808,1808,506471,34007.0,4.7626399145616803e-07
1811,1811,798975,34013.0,3.743470336165804e-07
1812,1812,291636,34015.0,8.877884175531374e-07
1813,1813,672391,34017.0,4.267060570072014e-07
1814,1814,124371,34019.0,1.9014786395810098e-06
1815,1815,367430,34021.0,-5.646518582063641e-06
1816,1816,825062,34023.0,3.509727684064064e-07
1817,1817,618795,34025.0,4.2954144677267465e-07
1818,1818,491845,34027.0,5.60154193138881e-07
1819,1819,607186,34029.0,4.685511665418004e-07
1820,1820,501826,34031.0,5.54412163686941e-07
1822,1822,328934,34035.0,-6.31960763520886e-06
1823,1823,140488,34037.0,1.863379337403555e-06
1824,1824,556341,34039.0,5.09326315670455e-07
1825,1825,105267,34041.0,2.3871840525727492e-06
1827,1827,679121,35001.0,3.315281403082553e-07
1851,1851,123958,35045.0,2.1075574846249188e-06
1861,1861,305506,36001.0,7.725721391770861e-07
1874,1874,294218,36027.0,8.874800852587498e-07
1875,1875,918702,36029.0,3.003888752813661e-07
1888,1888,741770,36055.0,3.2268539864559493e-07
1890,1890,1356924,36059.0,2.138165166078429e-07
1894,1894,460528,36067.0,5.290823061254874e-07
1896,1896,384940,36071.0,-5.42555484742663e-06
1900,1900,98320,36079.0,2.4894876273194485e-06
1904,1904,325789,36087.0,8.308800669818667e-07
1907,1907,155299,36093.0,1.4132252335441668e-06
1912,1912,1476601,36103.0,2.0426626150475774e-07
1920,1920,967506,36119.0,2.9119627767693566e-07
1964,1964,537174,37081.0,-3.765532866947755e-06
1983,1983,1110356,37119.0,-1.840221942009382e-06
2096,2096,1235072,39035.0,1.9522215649875006e-07
2103,2103,1316756,39049.0,1.9911420084508464e-07
2109,2109,817473,39061.0,3.2751832528555775e-07
2125,2125,309833,39093.0,7.129324172305039e-07
2126,2126,428348,39095.0,5.850981080738547e-07
2128,2128,228683,39099.0,1.0896011640770356e-06
2133,2133,106987,39109.0,1.9441904996056094e-06
2145,2145,162466,39133.0,1.4546023013588713e-06
2154,2154,370606,39151.0,5.556855839542352e-07
2155,2155,541013,39153.0,4.210187373206998e-07
2156,2156,197974,39155.0,1.0474224579194491e-06
2163,2163,115710,39169.0,1.982006570408718e-06
2181,2181,284014,40027.0,7.914842787459361e-07
2222,2222,797434,40109.0,2.9070917407530293e-07
2239,2239,651552,40143.0,3.118321204194533e-07
2271,2271,812855,41051.0,2.7026610746580296e-07
2284,2284,1216045,42003.0,-1.680941378985363e-06
2286,2286,163929,42007.0,1.4030382824131855e-06
2288,2288,421164,42011.0,-4.936400129183355e-06
2291,2291,628270,42017.0,4.0749753838514316e-07
2297,2297,524989,42029.0,4.672478122626233e-07
2304,2304,278299,42043.0,9.424310495386161e-07
2305,2305,566747,42045.0,4.289920981730791e-07
2317,2317,209674,42069.0,-9.761548617369423e-06
2318,2318,545724,42071.0,5.118716312887446e-07
2321,2321,369318,42077.0,7.392413940749117e-07
2322,2322,317417,42079.0,8.391045773209458e-07
2327,2327,170271,42089.0,1.3422218845939573e-06
2328,2328,830915,42091.0,3.0017692108720726e-07
2330,2330,305285,42095.0,8.242773684263554e-07
2333,2333,1584064,42101.0,1.8252901853338545e-07
2347,2347,348899,42129.0,6.807703582608451e-07
2354,2354,638931,44007.0,5.634414336625905e-07
2379,2379,523542,45045.0,4.516098160059406e-07
2396,2396,415759,45079.0,6.050232970184821e-07
2489,2489,694144,47037.0,3.4962699064092074e-07
2549,2549,937166,47157.0,2.5736269452545287e-07
2553,2553,191283,47165.0,1.2923468694664606e-06
2581,2581,2003554,48029.0,8.756300905501464e-08
2623,2623,2635516,48113.0,9.70575403762409e-08
2645,2645,811688,48157.0,2.599164000503889e-07
2650,2650,342139,48167.0,6.59974959172818e-07
2667,2667,4713325,48201.0,0.4997656108782089
2718,2718,310569,48303.0,7.671199251920324e-07
2786,2786,2102515,48439.0,1.1638715175867492e-07
2793,2793,1273954,48453.0,1.959088265497986e-07
2839,2839,1160437,49035.0,-1.7387328832226178e-06
2855,2855,163774,50007.0,1.3001706819559139e-06
2873,2873,236842,51013.0,9.651040138864267e-07
2895,2895,1147532,51059.0,2.1267772819489067e-07
2909,2909,330818,51087.0,7.569978966142178e-07
2939,2939,470335,51153.0,-4.350677585203263e-06
3003,3003,204390,53005.0,1.1575817782181797e-06
3017,3017,2252782,53033.0,1.0347956677693221e-07
3027,3027,904980,53053.0,2.4729666753998793e-07
3031,3031,822083,53061.0,1.9326045813539117e-07
3037,3037,229247,53073.0,8.8363479473976e-07
3039,3039,250873,53077.0,9.521674568558892e-07
3137,3137,945726,55079.0,2.79456156362979e-07
